"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"P22.4","P16","ASCLIN7_RXD","ASCLIN7_RXD","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P22.5","P17","QSPI0_M_TXD","QSPI0_M_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P22.6","N16","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P22.7","N17","QSPI0_M_CLK","QSPI0_M_CLK","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P22.8","M16","CAN2_NODE2_TXD","CAN2_NODE2_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P22.9","M17","QSPI0_M_RXD(N)","QSPI0_M_RXD(N)","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P22.10","L16","CAN2_NODE3_TXD","CAN2_NODE3_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P22.11","L17","CAN2_NODE3_RXD","CAN2_NODE3_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P23.0","V20","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P23.1","U19","ASCLIN6_RXD","ASCLIN6_RXD","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P23.2","U20","CAN1_NODE2_TXD","CAN1_NODE2_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P23.3","T19","CAN1_NODE2_RXD","CAN1_NODE2_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P23.4","T20","GPIO","LAN8651_NRST","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P23.5","T17","ASCLIN6_TXD","ASCLIN6_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P23.6","R17","CAN1_NODE1_TXD","CAN1_NODE1_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P23.7","R16","CAN1_NODE1_RXD","CAN1_NODE1_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P32.0","Y17","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P32.1","W17","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P32.2","Y18","CAN0_NODE3_RXD","CAN0_NODE3_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P32.3","Y19","CAN0_NODE3_TXD","CAN0_NODE3_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P32.4","W18","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P32.5","T15","CAN0_NODE2_TXD","CAN0_NODE2_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","SLOW","VEXT","PU1"
"P32.6","U15","CAN0_NODE2_RXD","CAN0_NODE2_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P32.7","U16","CAN2_NODE2_RXD","CAN2_NODE2_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P33.0","W10","GPIO","GPIO1","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEVRSB","PU1"
"P33.1","Y10","GPIO","CAN0_EN","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEVRSB","PU1"
"P33.2","W11","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P33.3","Y11","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P33.4","W12","CAN1_NODE3_TXD","CAN1_NODE3_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEVRSB","PU1"
"P33.5","Y12","CAN1_NODE3_RXD","CAN1_NODE3_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P33.6","W13","ASCLIN8_RXD","ASCLIN8_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P33.7","Y13","GPIO","LAN8651_NINT","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P33.8","W14","SMU_FSP0","SMU_FSP0","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEVRSB","HighZ"
"P33.9","Y14","GPIO","TLF35584_SS1","Input","Pull-up","CMOS/Automotive","","","SLOW","VEVRSB","PU1"
"P33.10","W15","CAN0_NODE1_RXD","CAN0_NODE1_RXD","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.11","Y15","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.12","W16","CAN0_NODE0_RXD","CAN0_NODE0_RXD","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.13","Y16","QSPI4_M_RXD(N)","QSPI4_M_RXD(N)","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.14","T14","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.15","U14","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEVRSB","PU1"
